Neighborhood,Total_crimes
West Seattle,1422
West Seattle,428
Ballard,1546
Ballard,3209
Downtown,2632
Northgate,1850
Rainier Valley,955
Capitol Hill,7474
Central Area,2295
Downtown,2946
Rainier Valley,624
Greater Duwamish,538
Greater Duwamish,79
Downtown,25
Downtown,5144
Cascade,166
Cascade,565
West Seattle,234
Downtown,3525
FK ERROR,4
North Central,1624
West Seattle,317
Greater Duwamish,989
Northwest,1645
Delridge,719
Delridge,805
Rainier Valley,286
Central Area,1102
Lake City,2043
Seward Park,333
Capitol Hill,283
Central Area,1172
Magnolia,1402
Beacon Hill,589
Capitol Hill,710
Capitol Hill,500
MORGAN,534
Rainier Valley,1425
Rainier Valley,496
West Seattle,784
Beacon Hill,1787
Delridge,620
Northgate,4380
OOJ,2
North Central,599
Delridge,60
Downtown,1662
Queen Anne,4848
Rainier Valley,1031
Rainier Valley,555
Northeast,3043
Delridge,1644
Northeast,1949
Cascade,4480
Greater Duwamish,1437
Beacon Hill,309
Delridge,298
Greater Duwamish,414
University District,3380
Queen Anne,1046
North Central,1321
