Neighborhood,AGGRAVATED ASSAULT,ALL OTHER,ANIMAL CRUELTY,ARSON,ASSAULT OFFENSES,BURGLARY,DISORDERLY CONDUCT & VAGRANCY VIOLATIONS,DUI,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),GAMBLING OFFENSES,HOMICIDE,HUMAN TRAFFICKING,JUSTIFIABLE HOMICIDE,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS & DRUNKENNESS,MOTOR VEHICLE THEFT,NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),NON-VIOLENT FAMILY OFFENSES,PORNOGRAPHY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",PROSTITUTION OFFENSES,RAPE,ROBBERY,SEX OFFENSES,TRESPASS,UNKNOWN,VIOLATION OF NO CONTACT ORDER,WEAPON LAW VIOLATION,Grand Total
West Seattle,49,36,2,2,136,144,3,27,97,,,,,6,392,3,132,31,,1,128,,10,30,3,25,,27,7,1422
West Seattle,31,14,,1,38,40,3,14,28,,,1,,3,90,,29,4,,,45,,6,3,1,9,,15,12,428
Ballard,36,32,2,,109,203,5,27,112,,1,,,3,575,,146,7,1,2,114,,7,13,2,25,1,26,7,1546
Ballard,83,69,1,5,198,460,4,29,137,,,,,2,1184,2,300,9,3,1,307,,12,49,5,60,2,39,18,3209
Downtown,145,114,4,12,232,303,8,17,78,1,1,,,6,608,2,100,244,1,4,202,,22,56,8,67,,47,35,2632
Capitol Hill,123,82,,5,220,134,4,26,82,,1,2,,12,489,1,127,24,4,2,133,18,19,27,11,39,2,37,24,1850
BRIGHTON/DUNLAP,56,49,,,108,85,3,17,52,,,2,1,4,193,,89,6,1,4,107,,9,20,5,16,,30,12,955
Capitol Hill,285,329,5,17,690,731,36,129,310,,3,1,,23,1776,1,438,453,3,8,636,1,50,162,19,171,1,96,109,7474
Central Area,75,63,2,5,234,221,11,44,88,,,,,8,661,1,180,18,6,3,241,,8,55,10,50,2,43,24,2295
Central Area,197,146,3,6,279,146,21,37,65,1,3,2,,13,427,3,88,388,3,3,268,,32,73,11,60,1,45,91,2946
CLAREMONT/RAINIER VISTA,42,20,1,4,67,66,1,12,20,,1,,,6,122,,51,4,2,1,61,,2,14,4,16,1,15,28,624
Rainier Valley,17,17,,2,52,70,,5,34,,,,,3,151,,53,2,1,1,46,,1,15,,5,,12,4,538
Downtown,2,3,,,5,15,,6,,,,,,2,8,,4,3,,,3,,,1,,3,,6,4,79
Downtown,2,,,,2,2,,3,1,,,,,,7,,2,,,,3,,,,,1,,1,1,25
DOWNTOWN COMMERCIAL,239,268,4,7,518,282,28,52,226,,3,,,9,1265,6,139,315,,6,396,1,46,140,21,178,,59,90,5144
Cascade,5,2,,,2,27,,2,11,,,,,1,55,,22,1,1,1,18,,1,3,,3,,,,166
Cascade,8,8,1,1,24,102,,4,37,,,,,,199,,49,2,,,72,,2,2,,8,,9,2,565
West Seattle,11,4,,,24,14,1,9,18,,,,,,73,,19,,,,21,,1,3,1,3,,12,2,234
Downtown,174,125,5,11,425,432,14,63,126,,2,,,15,831,,208,70,1,4,323,1,35,54,12,113,5,39,33,3525
North Central,35,20,1,2,95,290,6,14,71,,,,,1,623,,158,5,1,1,113,,5,11,8,29,,20,3,1624
West Seattle,3,9,,,23,25,,3,8,,,,,,153,,17,1,,,18,,,4,,12,,1,6,317
Greater Duwamish,43,43,,2,64,134,1,32,41,,,,,2,249,,70,7,,,113,,6,9,3,32,1,7,11,989
Northwest,79,63,2,4,112,173,7,35,92,,,2,,3,447,1,182,11,,,161,10,11,30,1,40,1,27,17,1645
Delridge,32,25,1,1,106,43,5,11,31,,,,1,2,165,,49,4,2,,96,,6,12,2,10,2,21,10,719
